Epoch:0001, Train Accuracy=73.5600, Eval Accuracy=73.5000, log_likelyhood_train:-0.904744, log_likelyhood_val:-0.899483
Epoch:0021, Train Accuracy=89.9400, Eval Accuracy=88.0000, log_likelyhood_train:-0.366569, log_likelyhood_val:-0.416811
Epoch:0041, Train Accuracy=91.5667, Eval Accuracy=89.2000, log_likelyhood_train:-0.301891, log_likelyhood_val:-0.379837
Epoch:0061, Train Accuracy=92.7267, Eval Accuracy=89.2000, log_likelyhood_train:-0.262530, log_likelyhood_val:-0.361100
Epoch:0081, Train Accuracy=93.5667, Eval Accuracy=89.4000, log_likelyhood_train:-0.233054, log_likelyhood_val:-0.348752
Epoch:0101, Train Accuracy=94.4200, Eval Accuracy=90.0000, log_likelyhood_train:-0.209100, log_likelyhood_val:-0.340226
Epoch:0121, Train Accuracy=95.1067, Eval Accuracy=90.2000, log_likelyhood_train:-0.188804, log_likelyhood_val:-0.333930
Epoch:0141, Train Accuracy=95.7000, Eval Accuracy=90.3000, log_likelyhood_train:-0.171149, log_likelyhood_val:-0.329296
Epoch:0161, Train Accuracy=96.2667, Eval Accuracy=90.4000, log_likelyhood_train:-0.155566, log_likelyhood_val:-0.325786
Epoch:0181, Train Accuracy=96.8400, Eval Accuracy=90.9000, log_likelyhood_train:-0.141651, log_likelyhood_val:-0.323023
Epoch:0201, Train Accuracy=97.2400, Eval Accuracy=90.8000, log_likelyhood_train:-0.129183, log_likelyhood_val:-0.320933
Epoch:0221, Train Accuracy=97.5467, Eval Accuracy=90.8000, log_likelyhood_train:-0.117946, log_likelyhood_val:-0.319674
Epoch:0241, Train Accuracy=97.9133, Eval Accuracy=90.9000, log_likelyhood_train:-0.107820, log_likelyhood_val:-0.318993
Epoch:0261, Train Accuracy=98.2000, Eval Accuracy=91.0000, log_likelyhood_train:-0.098675, log_likelyhood_val:-0.318689
Epoch:0281, Train Accuracy=98.4200, Eval Accuracy=91.2000, log_likelyhood_train:-0.090387, log_likelyhood_val:-0.318701
Epoch:0301, Train Accuracy=98.6667, Eval Accuracy=91.2000, log_likelyhood_train:-0.082903, log_likelyhood_val:-0.319117
Epoch:0321, Train Accuracy=98.9133, Eval Accuracy=91.3000, log_likelyhood_train:-0.076117, log_likelyhood_val:-0.319870
Epoch:0341, Train Accuracy=99.0467, Eval Accuracy=91.5000, log_likelyhood_train:-0.069984, log_likelyhood_val:-0.320881
Epoch:0361, Train Accuracy=99.2267, Eval Accuracy=91.5000, log_likelyhood_train:-0.064434, log_likelyhood_val:-0.322119
Epoch:0381, Train Accuracy=99.3400, Eval Accuracy=91.5000, log_likelyhood_train:-0.059411, log_likelyhood_val:-0.323558
Epoch:0401, Train Accuracy=99.4400, Eval Accuracy=91.5000, log_likelyhood_train:-0.054866, log_likelyhood_val:-0.325161
Epoch:0421, Train Accuracy=99.5000, Eval Accuracy=91.6000, log_likelyhood_train:-0.050757, log_likelyhood_val:-0.326871
Epoch:0441, Train Accuracy=99.5800, Eval Accuracy=91.5000, log_likelyhood_train:-0.047048, log_likelyhood_val:-0.328742
Epoch:0461, Train Accuracy=99.6733, Eval Accuracy=91.6000, log_likelyhood_train:-0.043699, log_likelyhood_val:-0.330685
Epoch:0481, Train Accuracy=99.7200, Eval Accuracy=91.6000, log_likelyhood_train:-0.040665, log_likelyhood_val:-0.332683
Epoch:0501, Train Accuracy=99.7733, Eval Accuracy=91.6000, log_likelyhood_train:-0.037928, log_likelyhood_val:-0.334658
Epoch:0521, Train Accuracy=99.7933, Eval Accuracy=91.6000, log_likelyhood_train:-0.035450, log_likelyhood_val:-0.336558
Epoch:0541, Train Accuracy=99.8267, Eval Accuracy=91.5000, log_likelyhood_train:-0.033207, log_likelyhood_val:-0.338564
Epoch:0561, Train Accuracy=99.8533, Eval Accuracy=91.6000, log_likelyhood_train:-0.031178, log_likelyhood_val:-0.340638
Epoch:0581, Train Accuracy=99.8667, Eval Accuracy=91.7000, log_likelyhood_train:-0.029332, log_likelyhood_val:-0.342699
Epoch:0601, Train Accuracy=99.8733, Eval Accuracy=91.7000, log_likelyhood_train:-0.027652, log_likelyhood_val:-0.344788
Epoch:0621, Train Accuracy=99.8800, Eval Accuracy=91.7000, log_likelyhood_train:-0.026116, log_likelyhood_val:-0.346794
Epoch:0641, Train Accuracy=99.8933, Eval Accuracy=91.7000, log_likelyhood_train:-0.024710, log_likelyhood_val:-0.348767
Epoch:0661, Train Accuracy=99.9067, Eval Accuracy=91.7000, log_likelyhood_train:-0.023422, log_likelyhood_val:-0.350770
Epoch:0681, Train Accuracy=99.9133, Eval Accuracy=91.7000, log_likelyhood_train:-0.022237, log_likelyhood_val:-0.352738
Epoch:0701, Train Accuracy=99.9200, Eval Accuracy=91.6000, log_likelyhood_train:-0.021147, log_likelyhood_val:-0.354717
Epoch:0721, Train Accuracy=99.9267, Eval Accuracy=91.7000, log_likelyhood_train:-0.020142, log_likelyhood_val:-0.356575
Epoch:0741, Train Accuracy=99.9267, Eval Accuracy=91.6000, log_likelyhood_train:-0.019212, log_likelyhood_val:-0.358462
Epoch:0761, Train Accuracy=99.9333, Eval Accuracy=91.6000, log_likelyhood_train:-0.018351, log_likelyhood_val:-0.360305
Epoch:0781, Train Accuracy=99.9400, Eval Accuracy=91.5000, log_likelyhood_train:-0.017553, log_likelyhood_val:-0.362083
Epoch:0801, Train Accuracy=99.9467, Eval Accuracy=91.5000, log_likelyhood_train:-0.016811, log_likelyhood_val:-0.363823
Epoch:0821, Train Accuracy=99.9533, Eval Accuracy=91.5000, log_likelyhood_train:-0.016121, log_likelyhood_val:-0.365532
Epoch:0841, Train Accuracy=99.9533, Eval Accuracy=91.5000, log_likelyhood_train:-0.015476, log_likelyhood_val:-0.367215
Epoch:0861, Train Accuracy=99.9533, Eval Accuracy=91.5000, log_likelyhood_train:-0.014875, log_likelyhood_val:-0.368839
Epoch:0881, Train Accuracy=99.9533, Eval Accuracy=91.4000, log_likelyhood_train:-0.014313, log_likelyhood_val:-0.370451
Epoch:0901, Train Accuracy=99.9533, Eval Accuracy=91.4000, log_likelyhood_train:-0.013786, log_likelyhood_val:-0.372030
Epoch:0921, Train Accuracy=99.9600, Eval Accuracy=91.4000, log_likelyhood_train:-0.013292, log_likelyhood_val:-0.373567
Epoch:0941, Train Accuracy=99.9600, Eval Accuracy=91.5000, log_likelyhood_train:-0.012827, log_likelyhood_val:-0.375045
Epoch:0961, Train Accuracy=99.9600, Eval Accuracy=91.5000, log_likelyhood_train:-0.012390, log_likelyhood_val:-0.376491
Epoch:0981, Train Accuracy=99.9600, Eval Accuracy=91.5000, log_likelyhood_train:-0.011979, log_likelyhood_val:-0.377967
Test Accuracy=90.4779
Test_Error: 258.99999999999983
