Number of hidden units:0100
Epoch:0001, Train Accuracy=77.9600, Eval Accuracy=79.6000, log_likelyhood_train:-0.962958, log_likelyhood_val:-0.964478
Epoch:0021, Train Accuracy=89.7267, Eval Accuracy=88.9000, log_likelyhood_train:-0.381359, log_likelyhood_val:-0.413847
Epoch:0041, Train Accuracy=91.1267, Eval Accuracy=89.5000, log_likelyhood_train:-0.328167, log_likelyhood_val:-0.381669
Epoch:0061, Train Accuracy=92.0200, Eval Accuracy=89.8000, log_likelyhood_train:-0.292195, log_likelyhood_val:-0.365427
Epoch:0081, Train Accuracy=92.8667, Eval Accuracy=90.0000, log_likelyhood_train:-0.263441, log_likelyhood_val:-0.354173
Epoch:0101, Train Accuracy=93.5600, Eval Accuracy=90.3000, log_likelyhood_train:-0.238941, log_likelyhood_val:-0.346547
Epoch:0121, Train Accuracy=94.2733, Eval Accuracy=90.4000, log_likelyhood_train:-0.217555, log_likelyhood_val:-0.340079
Epoch:0141, Train Accuracy=94.8867, Eval Accuracy=90.5000, log_likelyhood_train:-0.198346, log_likelyhood_val:-0.335077
Epoch:0161, Train Accuracy=95.4133, Eval Accuracy=90.7000, log_likelyhood_train:-0.180972, log_likelyhood_val:-0.331654
Epoch:0181, Train Accuracy=95.8733, Eval Accuracy=90.7000, log_likelyhood_train:-0.165197, log_likelyhood_val:-0.328796
Epoch:0201, Train Accuracy=96.2533, Eval Accuracy=91.0000, log_likelyhood_train:-0.150715, log_likelyhood_val:-0.327003
Epoch:0221, Train Accuracy=96.5867, Eval Accuracy=91.2000, log_likelyhood_train:-0.137473, log_likelyhood_val:-0.326420
Epoch:0241, Train Accuracy=97.0067, Eval Accuracy=91.0000, log_likelyhood_train:-0.125337, log_likelyhood_val:-0.326675
Epoch:0261, Train Accuracy=97.4067, Eval Accuracy=91.2000, log_likelyhood_train:-0.114378, log_likelyhood_val:-0.327927
Epoch:0281, Train Accuracy=97.6867, Eval Accuracy=91.5000, log_likelyhood_train:-0.104386, log_likelyhood_val:-0.329831
Epoch:0301, Train Accuracy=97.9800, Eval Accuracy=91.5000, log_likelyhood_train:-0.095261, log_likelyhood_val:-0.332229
Epoch:0321, Train Accuracy=98.2200, Eval Accuracy=91.6000, log_likelyhood_train:-0.086950, log_likelyhood_val:-0.335350
Epoch:0341, Train Accuracy=98.5133, Eval Accuracy=91.5000, log_likelyhood_train:-0.079420, log_likelyhood_val:-0.338879
Epoch:0361, Train Accuracy=98.7000, Eval Accuracy=91.7000, log_likelyhood_train:-0.072638, log_likelyhood_val:-0.342605
Epoch:0381, Train Accuracy=98.8400, Eval Accuracy=91.7000, log_likelyhood_train:-0.066416, log_likelyhood_val:-0.346434
Epoch:0401, Train Accuracy=98.9933, Eval Accuracy=91.6000, log_likelyhood_train:-0.060844, log_likelyhood_val:-0.350182
Epoch:0421, Train Accuracy=99.1200, Eval Accuracy=91.5000, log_likelyhood_train:-0.055802, log_likelyhood_val:-0.354384
Epoch:0441, Train Accuracy=99.2000, Eval Accuracy=91.6000, log_likelyhood_train:-0.051250, log_likelyhood_val:-0.358505
Epoch:0461, Train Accuracy=99.3200, Eval Accuracy=91.6000, log_likelyhood_train:-0.047165, log_likelyhood_val:-0.362908
Epoch:0481, Train Accuracy=99.4133, Eval Accuracy=91.5000, log_likelyhood_train:-0.043457, log_likelyhood_val:-0.367392
Epoch:0501, Train Accuracy=99.4667, Eval Accuracy=91.6000, log_likelyhood_train:-0.040141, log_likelyhood_val:-0.371694
Epoch:0521, Train Accuracy=99.5867, Eval Accuracy=91.6000, log_likelyhood_train:-0.037095, log_likelyhood_val:-0.376164
Epoch:0541, Train Accuracy=99.6667, Eval Accuracy=91.5000, log_likelyhood_train:-0.034396, log_likelyhood_val:-0.380572
Epoch:0561, Train Accuracy=99.6867, Eval Accuracy=91.4000, log_likelyhood_train:-0.031925, log_likelyhood_val:-0.384514
Epoch:0581, Train Accuracy=99.7000, Eval Accuracy=91.5000, log_likelyhood_train:-0.029710, log_likelyhood_val:-0.388850
Epoch:0601, Train Accuracy=99.7467, Eval Accuracy=91.5000, log_likelyhood_train:-0.027717, log_likelyhood_val:-0.392873
Epoch:0621, Train Accuracy=99.7800, Eval Accuracy=91.4000, log_likelyhood_train:-0.025883, log_likelyhood_val:-0.396821
Epoch:0641, Train Accuracy=99.8333, Eval Accuracy=91.4000, log_likelyhood_train:-0.024247, log_likelyhood_val:-0.400989
Epoch:0661, Train Accuracy=99.8667, Eval Accuracy=91.4000, log_likelyhood_train:-0.022767, log_likelyhood_val:-0.404758
Epoch:0681, Train Accuracy=99.8733, Eval Accuracy=91.4000, log_likelyhood_train:-0.021422, log_likelyhood_val:-0.408640
Epoch:0701, Train Accuracy=99.8800, Eval Accuracy=91.5000, log_likelyhood_train:-0.020201, log_likelyhood_val:-0.412215
Epoch:0721, Train Accuracy=99.8933, Eval Accuracy=91.4000, log_likelyhood_train:-0.019089, log_likelyhood_val:-0.415852
Epoch:0741, Train Accuracy=99.9000, Eval Accuracy=91.4000, log_likelyhood_train:-0.018077, log_likelyhood_val:-0.419423
Epoch:0761, Train Accuracy=99.9133, Eval Accuracy=91.4000, log_likelyhood_train:-0.017163, log_likelyhood_val:-0.422879
Epoch:0781, Train Accuracy=99.9133, Eval Accuracy=91.4000, log_likelyhood_train:-0.016318, log_likelyhood_val:-0.426358
Epoch:0801, Train Accuracy=99.9200, Eval Accuracy=91.7000, log_likelyhood_train:-0.015541, log_likelyhood_val:-0.429645
Epoch:0821, Train Accuracy=99.9333, Eval Accuracy=91.7000, log_likelyhood_train:-0.014828, log_likelyhood_val:-0.432979
Epoch:0841, Train Accuracy=99.9333, Eval Accuracy=91.7000, log_likelyhood_train:-0.014165, log_likelyhood_val:-0.436226
Epoch:0861, Train Accuracy=99.9400, Eval Accuracy=91.7000, log_likelyhood_train:-0.013553, log_likelyhood_val:-0.439485
Epoch:0881, Train Accuracy=99.9400, Eval Accuracy=91.7000, log_likelyhood_train:-0.012990, log_likelyhood_val:-0.442540
Epoch:0901, Train Accuracy=99.9400, Eval Accuracy=91.7000, log_likelyhood_train:-0.012459, log_likelyhood_val:-0.445366
Epoch:0921, Train Accuracy=99.9400, Eval Accuracy=91.7000, log_likelyhood_train:-0.011970, log_likelyhood_val:-0.448150
Epoch:0941, Train Accuracy=99.9533, Eval Accuracy=91.7000, log_likelyhood_train:-0.011516, log_likelyhood_val:-0.450838
Epoch:0961, Train Accuracy=99.9533, Eval Accuracy=91.7000, log_likelyhood_train:-0.011088, log_likelyhood_val:-0.453445
Epoch:0981, Train Accuracy=99.9533, Eval Accuracy=91.7000, log_likelyhood_train:-0.010690, log_likelyhood_val:-0.455998
Test Accuracy=90.0368
Test_Error: 271.00000000000017
Number of hidden units:0500
Epoch:0001, Train Accuracy=83.1600, Eval Accuracy=81.7000, log_likelyhood_train:-0.633055, log_likelyhood_val:-0.648997
Epoch:0021, Train Accuracy=91.5867, Eval Accuracy=90.0000, log_likelyhood_train:-0.312427, log_likelyhood_val:-0.380788
Epoch:0041, Train Accuracy=93.4533, Eval Accuracy=90.8000, log_likelyhood_train:-0.250420, log_likelyhood_val:-0.357947
Epoch:0061, Train Accuracy=94.4400, Eval Accuracy=91.0000, log_likelyhood_train:-0.208538, log_likelyhood_val:-0.345386
Epoch:0081, Train Accuracy=95.3800, Eval Accuracy=91.2000, log_likelyhood_train:-0.175911, log_likelyhood_val:-0.336665
Epoch:0101, Train Accuracy=96.3533, Eval Accuracy=91.2000, log_likelyhood_train:-0.148964, log_likelyhood_val:-0.330836
Epoch:0121, Train Accuracy=97.2400, Eval Accuracy=91.5000, log_likelyhood_train:-0.126480, log_likelyhood_val:-0.327441
Epoch:0141, Train Accuracy=97.7800, Eval Accuracy=91.5000, log_likelyhood_train:-0.107810, log_likelyhood_val:-0.326053
Epoch:0161, Train Accuracy=98.3133, Eval Accuracy=91.6000, log_likelyhood_train:-0.092316, log_likelyhood_val:-0.325985
Epoch:0181, Train Accuracy=98.6867, Eval Accuracy=91.7000, log_likelyhood_train:-0.079445, log_likelyhood_val:-0.326985
Epoch:0201, Train Accuracy=98.9933, Eval Accuracy=91.8000, log_likelyhood_train:-0.068721, log_likelyhood_val:-0.328612
Epoch:0221, Train Accuracy=99.2400, Eval Accuracy=91.7000, log_likelyhood_train:-0.059790, log_likelyhood_val:-0.330786
Epoch:0241, Train Accuracy=99.4800, Eval Accuracy=91.6000, log_likelyhood_train:-0.052341, log_likelyhood_val:-0.333342
Epoch:0261, Train Accuracy=99.5667, Eval Accuracy=91.8000, log_likelyhood_train:-0.046097, log_likelyhood_val:-0.336128
Epoch:0281, Train Accuracy=99.6933, Eval Accuracy=91.8000, log_likelyhood_train:-0.040859, log_likelyhood_val:-0.339271
Epoch:0301, Train Accuracy=99.7467, Eval Accuracy=92.0000, log_likelyhood_train:-0.036427, log_likelyhood_val:-0.342387
Epoch:0321, Train Accuracy=99.8200, Eval Accuracy=92.0000, log_likelyhood_train:-0.032673, log_likelyhood_val:-0.345586
Epoch:0341, Train Accuracy=99.8467, Eval Accuracy=92.1000, log_likelyhood_train:-0.029470, log_likelyhood_val:-0.348680
Epoch:0361, Train Accuracy=99.8733, Eval Accuracy=92.0000, log_likelyhood_train:-0.026729, log_likelyhood_val:-0.351824
Epoch:0381, Train Accuracy=99.9000, Eval Accuracy=92.0000, log_likelyhood_train:-0.024381, log_likelyhood_val:-0.354960
Epoch:0401, Train Accuracy=99.9333, Eval Accuracy=92.0000, log_likelyhood_train:-0.022360, log_likelyhood_val:-0.358111
Epoch:0421, Train Accuracy=99.9400, Eval Accuracy=92.0000, log_likelyhood_train:-0.020610, log_likelyhood_val:-0.361322
Epoch:0441, Train Accuracy=99.9533, Eval Accuracy=92.0000, log_likelyhood_train:-0.019085, log_likelyhood_val:-0.364485
Epoch:0461, Train Accuracy=99.9533, Eval Accuracy=92.0000, log_likelyhood_train:-0.017747, log_likelyhood_val:-0.367529
Epoch:0481, Train Accuracy=99.9533, Eval Accuracy=92.0000, log_likelyhood_train:-0.016566, log_likelyhood_val:-0.370473
Epoch:0501, Train Accuracy=99.9600, Eval Accuracy=91.9000, log_likelyhood_train:-0.015518, log_likelyhood_val:-0.373280
Epoch:0521, Train Accuracy=99.9600, Eval Accuracy=91.8000, log_likelyhood_train:-0.014581, log_likelyhood_val:-0.376018
Epoch:0541, Train Accuracy=99.9600, Eval Accuracy=91.8000, log_likelyhood_train:-0.013742, log_likelyhood_val:-0.378674
Epoch:0561, Train Accuracy=99.9667, Eval Accuracy=91.8000, log_likelyhood_train:-0.012985, log_likelyhood_val:-0.381272
